Title,Description,Price,ImageUrl
Mutton Biryani,Original Price: 230,11500,
Egg Biryani,Original Price: 170,8500,
Veg Biryani,Original Price: 160,8000,
Plain Biryani,Original Price: 130,6500,
Special Biryani Boneless,Original Price: 210,10500,
Chicken Fry Piece Biryani,Original Price: 210,10500,
Chicken Kali Mirch,,19500,
Plain Paratha,,3000,
Mango Lassi,,5000,
Masala Papad,,3500,
Egg 65,,13000,
Chicken Kebab,,18000,https://duyt4h9nfnj50.cloudfront.net/sku/5dad6b3dc32432789baf127f2745c82c
Coke,,5500,
Gulab Jamun,Two Pieces.,5000,
Fish Masala,,20000,
Chilli Baby Corn,,16000,
Chocolate,,14400,
Baby Corn 65,,16000,
Lassi,,5000,
Mutton Pepper Masala,,19500,
Chilli Egg,,13000,
Tangdi Kabab,,15000,
Egg Omelette,,3000,
Tandoori Baby Corn,,16000,
Pistachio,,16800,
Chicken Lollipop,,18000,https://duyt4h9nfnj50.cloudfront.net/sku/d2d533e412a4b3c9907da93a7537b460
Paneer Manchurian,,15000,
Butter Milk,,4000,
Egg Masala,,10000,
Chicken Kebab,,18000,
Methi Paneer,,15500,
Baby Corn Manchurian,,16000,
Reshmi Kabab,,20000,
Chocolate Mud Cake,,9900,
Mixed Vegetable Raita,,6000,
Mutton Rogan Josh,,21500,
Tandoori Chicken,,20000,https://duyt4h9nfnj50.cloudfront.net/sku/58e75745c21c87e87c69a1ef076a65e4
Fish Pepper 65,,21000,
Biryani Hub's Special Chicken Curry,,19500,
Fish Biryani,,23000,
Chicken Nawabi,,19500,
Lemon Chicken Dry,,18000,https://duyt4h9nfnj50.cloudfront.net/sku/c56d14765ef7b2b3d5a91cf6c3cc86b3
Chapathi,,2000,
Paneer Biryani,,17000,
Aloo Matar,,13500,
Veg. Noodles,,15000,
Tandoori Chicken,,20000,
Biryani Rice,,13000,
Kolhapuri Chicken,,17500,
Kolhapuri Vegetables,,14500,
Hyderabadi Mutton,,21500,
Veg. Schezwan Fried Rice,,15000,
Schezwan Prawns,,22000,
Banjara Kabab,,20000,
Putarekulu,,20000,
Curd Rice,,9900,
Chicken Saagwala,,18500,
Egg Bhurji,,4500,
